"description"	"symbol"	"efo"	"gene"	"chromosome"	"init_pos"	"genome_reference"	"chosen_gene_idx"	"position"	"row_number"
"COVID-19"	"JAK2"	"MONDO_0100096"	"ENSG00000096968"	"chr9"	5057610	"hg38"	2	5174753.5	21
"COVID-19"	"TLR9"	"MONDO_0100096"	"ENSG00000239732"	"chr3"	52223362.5	"hg38"	1	52223362.5	22
"COVID-19"	"VIPR1"	"MONDO_0100096"	"ENSG00000114812"	"chr3"	42520105.5	"hg38"	1	42520105.5	23
"Acne Vulgaris"	"AR"	"EFO_0003894"	"ENSG00000169083"	"chrX"	67637320	"hg38"	2	68237919.5	24
"Acne Vulgaris"	"RARA"	"EFO_0003894"	"ENSG00000131759"	"chr17"	40333411.5	"hg38"	1	40333411.5	25
"Acne Vulgaris"	"RARB"	"EFO_0003894"	"ENSG00000077092"	"chr3"	25513097.5	"hg38"	3	25664906	26
"Acne Vulgaris"	"RARG"	"EFO_0003894"	"ENSG00000172819"	"chr12"	53221389	"hg38"	3	53242311	27
"Acromegaly"	"SSTR2"	"EFO_1001485"	"ENSG00000180616"	"chr17"	73170821.5	"hg38"	0	73170821.5	28
"Addison Disease"	"NR3C1"	"Orphanet_85138"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	29
"Adrenal Gland Neoplasms"	"TH"	"EFO_0003850"	"ENSG00000180176"	"chr11"	2167872	"hg38"	6	2134253	30
"Adrenoleukodystrophy"	"ABCD1"	"Orphanet_43"	"ENSG00000101986"	"chrX"	153734805.5	"hg38"	2	153712439.5	31
"Adrenoleukodystrophy"	"PPARG"	"Orphanet_43"	"ENSG00000132170"	"chr3"	12361707	"hg38"	1	12361707	32
"Afibrinogenemia"	"FGA"	"Orphanet_335"	"ENSG00000171560"	"chr4"	154588008.5	"hg38"	1	154588008.5	33
"Afibrinogenemia"	"FGB"	"Orphanet_335"	"ENSG00000171564"	"chr4"	154567909	"hg38"	1	154567909	34
"Afibrinogenemia"	"FGG"	"Orphanet_335"	"ENSG00000171557"	"chr4"	154608413.5	"hg38"	1	154608413.5	35
"Alcoholism"	"ALDH1A1"	"EFO_0003829"	"ENSG00000165092"	"chr9"	72926862	"hg38"	2	72679952.5	36
"Alcoholism"	"GABBR1"	"EFO_0003829"	"ENSG00000204681"	"chr6"	29617710.5	"hg38"	1	29617710.5	37
"Alcoholism"	"OPRK1"	"EFO_0003829"	"ENSG00000082556"	"chr8"	53238680.5	"hg38"	3	53779394	38
"Alcoholism"	"OPRM1"	"EFO_0003829"	"ENSG00000112038"	"chr6"	154085798	"hg38"	3	154334971	39
"Alopecia"	"ABCC9"	"Orphanet_79364"	"ENSG00000069431"	"chr12"	21869407.5	"hg38"	1	21869407.5	40
"Alopecia"	"KCNJ8"	"Orphanet_79364"	"ENSG00000121361"	"chr12"	21769830.5	"hg38"	5	21570477	41
"Alopecia"	"REN"	"Orphanet_79364"	"ENSG00000143839"	"chr1"	204160578	"hg38"	1	204160578	42
"Alopecia"	"SRD5A2"	"Orphanet_79364"	"ENSG00000277893"	"chr2"	31551709	"hg38"	1	31551709	43
"Alopecia Areata"	"ABCC9"	"EFO_0004192"	"ENSG00000069431"	"chr12"	21869407.5	"hg38"	3	22055943	44
"Alopecia Areata"	"JAK1"	"EFO_0004192"	"ENSG00000162434"	"chr1"	64899889	"hg38"	5	64581591	45
"Alopecia Areata"	"JAK2"	"EFO_0004192"	"ENSG00000096968"	"chr9"	5057610	"hg38"	6	5302290	46
"Alopecia Areata"	"JAK3"	"EFO_0004192"	"ENSG00000105639"	"chr19"	17836382	"hg38"	1	17836382	47
"Alopecia Areata"	"KCNJ8"	"EFO_0004192"	"ENSG00000121361"	"chr12"	21769830.5	"hg38"	1	21769830.5	48
"Alopecia Areata"	"REN"	"EFO_0004192"	"ENSG00000143839"	"chr1"	204160578	"hg38"	1	204160578	49
"Alzheimer Disease"	"ACHE"	"MONDO_0004975"	"ENSG00000087085"	"chr7"	100892941	"hg38"	6	100859861.5	50
"Alzheimer Disease"	"APP"	"MONDO_0004975"	"ENSG00000142192"	"chr21"	26025660	"hg38"	1	26025660	51
"Alzheimer Disease"	"BCHE"	"MONDO_0004975"	"ENSG00000114200"	"chr3"	165805163.5	"hg38"	1	165805163.5	52
"Alzheimer Disease"	"GRIN1"	"MONDO_0004975"	"ENSG00000176884"	"chr9"	137153955	"hg38"	1	137153955	53
"Amyloidosis"	"TTR"	"EFO_1001875,MONDO_0019439"	"ENSG00000118271"	"chr18"	31595349	"hg38"	4	31463221.5	54
"Amyotrophic Lateral Sclerosis"	"CSF1R"	"MONDO_0004976"	"ENSG00000182578"	"chr5"	150069924.5	"hg38"	0	150069924.5	55
"Amyotrophic Lateral Sclerosis"	"FGFR3"	"MONDO_0004976"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	56
"Amyotrophic Lateral Sclerosis"	"FYN"	"MONDO_0004976"	"ENSG00000010810"	"chr6"	111766892	"hg38"	1	111766892	57
"Amyotrophic Lateral Sclerosis"	"KIT"	"MONDO_0004976"	"ENSG00000157404"	"chr4"	54699336	"hg38"	3	54263769	58
"Amyotrophic Lateral Sclerosis"	"LYN"	"MONDO_0004976"	"ENSG00000254087"	"chr8"	55947002	"hg38"	2	55799945.5	59
"Amyotrophic Lateral Sclerosis"	"PDGFRB"	"MONDO_0004976"	"ENSG00000113721"	"chr5"	150134842	"hg38"	10	149901373	60
"Amyotrophic Lateral Sclerosis"	"SCN5A"	"MONDO_0004976"	"ENSG00000183873"	"chr3"	38598874.5	"hg38"	1	38598874.5	61
"Amyotrophic Lateral Sclerosis"	"SLC7A11"	"MONDO_0004976"	"ENSG00000151012"	"chr4"	138203223	"hg38"	1	138203223	62
"Amyotrophic Lateral Sclerosis"	"SOD1"	"MONDO_0004976"	"ENSG00000142168"	"chr21"	31664312	"hg38"	1	31664312	63
"Anemia"	"CSF3R"	"MONDO_0002280"	"ENSG00000119535"	"chr1"	36474478	"hg38"	1	36474478	64
"Anemia"	"EGLN1"	"MONDO_0002280"	"ENSG00000135766"	"chr1"	231393021.5	"hg38"	1	231393021.5	65
"Anemia"	"EGLN2"	"MONDO_0002280"	"ENSG00000269858"	"chr19"	40803812.5	"hg38"	1	40793344.5	66
"Anemia"	"EGLN3"	"MONDO_0002280"	"ENSG00000129521"	"chr14"	33937650.5	"hg38"	1	33937650.5	67
"Anemia"	"EPOR"	"MONDO_0002280"	"ENSG00000187266"	"chr19"	11380760.5	"hg38"	9	11443301.5	68
"Anemia, Aplastic"	"CSF3R"	"HP_0001915"	"ENSG00000119535"	"chr1"	36474478	"hg38"	1	36474478	69
"Anemia, Aplastic"	"MPL"	"HP_0001915"	"ENSG00000117400"	"chr1"	43346142	"hg38"	8	43283729	70
"Anemia, Hemolytic, Autoimmune"	"C1S"	"EFO_1001264"	"ENSG00000182326"	"chr12"	7065875	"hg38"	2	7086332	71
"Anemia, Hemolytic, Autoimmune"	"C3"	"EFO_1001264"	"ENSG00000125730"	"chr19"	6699177	"hg38"	5	6745605	72
"Anemia, Sickle Cell"	"SELP"	"Orphanet_232"	"ENSG00000174175"	"chr1"	169609486.5	"hg38"	10	169871763.5	73
"Angina Pectoris"	"ADRB1"	"EFO_0003913"	"ENSG00000043591"	"chr10"	114045385	"hg38"	2	114147532.5	74
"Angina Pectoris"	"CACNA1C"	"EFO_0003913"	"ENSG00000151067"	"chr12"	2375468.5	"hg38"	1	2375468.5	75
"Angina, Unstable"	"F10"	"EFO_0020925"	"ENSG00000126218"	"chr13"	113136164	"hg38"	1	113136164	76
"Angina, Unstable"	"F2"	"EFO_0020925"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	5	46688849.5	77
"Angina, Unstable"	"ITGA2B"	"EFO_0020925"	"ENSG00000005961"	"chr17"	44380915	"hg38"	1	44380915	78
"Angina, Unstable"	"ITGAV"	"EFO_0020925"	"ENSG00000138448"	"chr2"	186635478.5	"hg38"	1	186635478.5	79
"Angina, Unstable"	"ITGB2"	"EFO_0020925"	"ENSG00000160255"	"chr21"	44903426	"hg38"	15	44627735.5	80
"Angina, Unstable"	"ITGB3"	"EFO_0020925"	"ENSG00000259207"	"chr17"	47283785	"hg38"	7	47577192	81
"Angina, Unstable"	"SERPINC1"	"EFO_0020925"	"ENSG00000117601"	"chr1"	173910563.5	"hg38"	1	173910563.5	82
"Fabry Disease"	"GLA"	"Orphanet_324"	"ENSG00000102393"	"chrX"	101402864	"hg38"	10	101552623.5	83
"Anorexia"	"GHSR"	"HP_0002039"	"ENSG00000121853"	"chr3"	172445873.5	"hg38"	3	172514469	84
"Anthrax"	"ANTXR1"	"EFO_0000778"	"ENSG00000169604"	"chr2"	69131253	"hg38"	4	68949062.5	85
"Anthrax"	"CR1"	"EFO_0000778"	"ENSG00000203710"	"chr1"	207568961	"hg38"	1	207568961	86
"Anus Neoplasms"	"PDCD1"	"MONDO_0003199"	"ENSG00000188389"	"chr2"	241854389	"hg38"	1	241854389	87
"Anxiety Disorders"	"DRD1"	"EFO_1001892,EFO_0005230"	"ENSG00000184845"	"chr5"	175442109	"hg38"	3	175684413.5	88
"Anxiety Disorders"	"DRD2"	"EFO_1001892,EFO_0005230"	"ENSG00000149295"	"chr11"	113442501.5	"hg38"	1	113442501.5	89
"Anxiety Disorders"	"HRH1"	"EFO_1001892,EFO_0005230"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	90
"Anxiety Disorders"	"HTR1A"	"EFO_1001892,EFO_0005230"	"ENSG00000178394"	"chr5"	63960159.5	"hg38"	1	63960159.5	91
"Anxiety Disorders"	"HTR2C"	"EFO_1001892,EFO_0005230"	"ENSG00000147246"	"chrX"	114747073.5	"hg38"	1	114747073.5	92
"Anxiety Disorders"	"SLC6A4"	"EFO_1001892,EFO_0005230"	"ENSG00000108576"	"chr17"	30215008	"hg38"	2	30151645.5	93
"Anxiety Disorders"	"TACR1"	"EFO_1001892,EFO_0005230"	"ENSG00000115353"	"chr2"	75122991.5	"hg38"	2	75090863	94
"Apnea"	"HRH3"	"HP_0002104"	"ENSG00000101180"	"chr20"	62217619	"hg38"	1	62217619	95
"Apnea"	"SLC6A2"	"HP_0002104"	"ENSG00000103546"	"chr16"	55681090	"hg38"	1	55681090	96
"Apnea"	"SLC6A3"	"HP_0002104"	"ENSG00000142319"	"chr5"	1419117	"hg38"	3	1331425.5	97
"Arthritis"	"F10"	"EFO_0005856"	"ENSG00000126218"	"chr13"	113136164	"hg38"	2	113113238	98
"Arthritis"	"PLAU"	"EFO_0005856"	"ENSG00000122861"	"chr10"	73914313	"hg38"	1	73914313	99
"Arthritis"	"PTGER2"	"EFO_0005856"	"ENSG00000125384"	"chr14"	52321455	"hg38"	1	52321455	100
"Arthritis, Juvenile"	"CD80"	"EFO_0002609"	"ENSG00000121594"	"chr3"	119541953.5	"hg38"	0	119541953.5	101
"Arthritis, Juvenile"	"CD86"	"EFO_0002609"	"ENSG00000114013"	"chr3"	122088249	"hg38"	1	122088249	102
"Arthritis, Juvenile"	"DHFR"	"EFO_0002609"	"ENSG00000228716"	"chr5"	80640604.5	"hg38"	1	80640604.5	103
"Arthritis, Juvenile"	"IL17A"	"EFO_0002609"	"ENSG00000112115"	"chr6"	52188506.5	"hg38"	1	52188506.5	104
"Arthritis, Juvenile"	"IL1B"	"EFO_0002609"	"ENSG00000125538"	"chr2"	112833265	"hg38"	1	112833265	105
"Arthritis, Juvenile"	"IL6R"	"EFO_0002609"	"ENSG00000160712"	"chr1"	154437396.5	"hg38"	6	154323209	106
"Arthritis, Juvenile"	"JAK1"	"EFO_0002609"	"ENSG00000162434"	"chr1"	64899889	"hg38"	6	65190174	107
"Arthritis, Juvenile"	"JAK3"	"EFO_0002609"	"ENSG00000105639"	"chr19"	17836382	"hg38"	6	17770019	108
"Arthritis, Juvenile"	"TNF"	"EFO_0002609"	"ENSG00000232810"	"chr6"	31576950.5	"hg38"	20	31663112.5	109
"Arthritis, Juvenile"	"TYMS"	"EFO_0002609"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	1	665615.5	110
"Arthritis, Rheumatoid"	"CD6"	"EFO_0000685"	"ENSG00000013725"	"chr11"	60996028.5	"hg38"	1	60996028.5	111
"Arthritis, Rheumatoid"	"CD80"	"EFO_0000685"	"ENSG00000121594"	"chr3"	119541953.5	"hg38"	2	119511818.5	112
"Arthritis, Rheumatoid"	"CD86"	"EFO_0000685"	"ENSG00000114013"	"chr3"	122088249	"hg38"	1	122088249	113
"Arthritis, Rheumatoid"	"DHFR"	"EFO_0000685"	"ENSG00000228716"	"chr5"	80640604.5	"hg38"	2	80765733.5	114
"Arthritis, Rheumatoid"	"EPOR"	"EFO_0000685"	"ENSG00000187266"	"chr19"	11380760.5	"hg38"	2	11375417.5	115
"Arthritis, Rheumatoid"	"IFNG"	"EFO_0000685"	"ENSG00000111537"	"chr12"	68157254	"hg38"	2	68213579.5	116
"Arthritis, Rheumatoid"	"IL1R1"	"EFO_0000685"	"ENSG00000115594"	"chr2"	102161310	"hg38"	4	102331800	117
"Arthritis, Rheumatoid"	"IL2RA"	"EFO_0000685"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	118
"Arthritis, Rheumatoid"	"IL6"	"EFO_0000685"	"ENSG00000136244"	"chr7"	22729599	"hg38"	4	22459816	119
"Arthritis, Rheumatoid"	"IL6R"	"EFO_0000685"	"ENSG00000160712"	"chr1"	154437396.5	"hg38"	2	154490946.5	120
"Arthritis, Rheumatoid"	"JAK1"	"EFO_0000685"	"ENSG00000162434"	"chr1"	64899889	"hg38"	1	64899889	121
"Arthritis, Rheumatoid"	"JAK2"	"EFO_0000685"	"ENSG00000096968"	"chr9"	5057610	"hg38"	4	4827005	122
"Arthritis, Rheumatoid"	"JAK3"	"EFO_0000685"	"ENSG00000105639"	"chr19"	17836382	"hg38"	1	17836382	123
"Arthritis, Rheumatoid"	"MS4A1"	"EFO_0000685"	"ENSG00000156738"	"chr11"	60463299.5	"hg38"	1	60463299.5	124
"Arthritis, Rheumatoid"	"NR3C1"	"EFO_0000685"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	125
"Arthritis, Rheumatoid"	"PTGS2"	"EFO_0000685"	"ENSG00000073756"	"chr1"	186676107	"hg38"	3	186452340	126
"Arthritis, Rheumatoid"	"TGFB1"	"EFO_0000685"	"ENSG00000105329"	"chr19"	41342122.5	"hg38"	2	41359283	127
"Arthritis, Rheumatoid"	"TNF"	"EFO_0000685"	"ENSG00000232810"	"chr6"	31576950.5	"hg38"	1	31576950.5	128
"Arthritis, Rheumatoid"	"TYMS"	"EFO_0000685"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	0	665615.5	129
"Ascites"	"CD3E"	"HP_0001541"	"ENSG00000198851"	"chr11"	118310451.5	"hg38"	1	118310451.5	130
"Ascites"	"EPCAM"	"HP_0001541"	"ENSG00000119888"	"chr2"	47378165.5	"hg38"	1	47378165.5	131
"Ascites"	"FCGR1A"	"HP_0001541"	"ENSG00000150337"	"chr1"	149787184.5	"hg38"	1	149787184.5	132
"Ascites"	"FCGR2A"	"HP_0001541"	"ENSG00000143226"	"chr1"	161512643	"hg38"	1	161512643	133
"Ascites"	"FCGR3A"	"HP_0001541"	"ENSG00000203747"	"chr1"	161545788.5	"hg38"	2	161588005.5	134
"Ascites"	"FCGR3B"	"HP_0001541"	"ENSG00000162747"	"chr1"	161627186	"hg38"	1	161588005.5	135
"Ascites"	"IL2RA"	"HP_0001541"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	136
"Asthma"	"ADRB2"	"MONDO_0004979"	"ENSG00000169252"	"chr5"	148827617	"hg38"	6	148413397	137
"Asthma"	"ALOX5"	"MONDO_0004979"	"ENSG00000012779"	"chr10"	45410166.5	"hg38"	0	45410166.5	138
"Asthma"	"CYSLTR1"	"MONDO_0004979"	"ENSG00000173198"	"chrX"	78299539.5	"hg38"	1	78299539.5	139
"Asthma"	"IGHE"	"MONDO_0004979"	"ENSG00000211891"	"chr14"	105599709.5	"hg38"	1	105599709.5	140
"Asthma"	"IL4R"	"MONDO_0004979"	"ENSG00000077238"	"chr16"	27339376	"hg38"	6	27665244	141
"Asthma"	"IL5RA"	"MONDO_0004979"	"ENSG00000091181"	"chr3"	3088349	"hg38"	1	3088349	142
"Asthma"	"NR3C1"	"MONDO_0004979"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	143
"Asthma"	"TSLP"	"MONDO_0004979"	"ENSG00000145777"	"chr5"	111074869.5	"hg38"	1	111074869.5	144
"Atrial Fibrillation"	"ADRB1"	"EFO_0000275"	"ENSG00000043591"	"chr10"	114045385	"hg38"	1	114045385	145
"Atrial Fibrillation"	"ADRB2"	"EFO_0000275"	"ENSG00000169252"	"chr5"	148827617	"hg38"	1	148827617	146
"Atrial Fibrillation"	"F10"	"EFO_0000275"	"ENSG00000126218"	"chr13"	113136164	"hg38"	7	113262959.5	147
"Atrial Fibrillation"	"KCNH2"	"EFO_0000275"	"ENSG00000055118"	"chr7"	150961641	"hg38"	1	150961641	148
"Atrial Fibrillation"	"SCN5A"	"EFO_0000275"	"ENSG00000183873"	"chr3"	38598874.5	"hg38"	2	38511321.5	149
"Attention Deficit Disorder with Hyperactivity"	"ADRA1A"	"MONDO_0007743"	"ENSG00000120907"	"chr8"	26818043.5	"hg38"	1	26818043.5	150
"Attention Deficit Disorder with Hyperactivity"	"ADRA2A"	"MONDO_0007743"	"ENSG00000150594"	"chr10"	111078968	"hg38"	3	110988969.5	151
"Attention Deficit Disorder with Hyperactivity"	"ADRA2B"	"MONDO_0007743"	"ENSG00000274286"	"chr2"	96114723.5	"hg38"	3	96144304.5	152
"Attention Deficit Disorder with Hyperactivity"	"ADRA2C"	"MONDO_0007743"	"ENSG00000184160"	"chr4"	3767455.5	"hg38"	0	3767455.5	153
"Attention Deficit Disorder with Hyperactivity"	"SLC18A2"	"MONDO_0007743"	"ENSG00000165646"	"chr10"	117260272	"hg38"	7	117546146	154
"Attention Deficit Disorder with Hyperactivity"	"SLC6A2"	"MONDO_0007743"	"ENSG00000103546"	"chr16"	55681090	"hg38"	1	55681090	155
"Attention Deficit Disorder with Hyperactivity"	"SLC6A3"	"MONDO_0007743"	"ENSG00000142319"	"chr5"	1419117	"hg38"	3	1331425.5	156
"Attention Deficit Disorder with Hyperactivity"	"SLC6A4"	"MONDO_0007743"	"ENSG00000108576"	"chr17"	30215008	"hg38"	1	30215008	157
"Autoimmune Diseases"	"IFNAR2"	"EFO_0005140"	"ENSG00000159110"	"chr21"	33247801	"hg38"	3	33281794	158
"Bacterial Infections"	"TOP2A"	"EFO_0000771"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	1	40403210.5	159
"Behcet Syndrome"	"PDE4A"	"EFO_0003780"	"ENSG00000065989"	"chr19"	10445084	"hg38"	4	10403498	160
"Behcet Syndrome"	"PDE4B"	"EFO_0003780"	"ENSG00000184588"	"chr1"	66083734.5	"hg38"	1	66083734.5	161
"Behcet Syndrome"	"PDE4C"	"EFO_0003780"	"ENSG00000105650"	"chr19"	18217201.5	"hg38"	1	18231690	162
"Behcet Syndrome"	"PDE4D"	"EFO_0003780"	"ENSG00000113448"	"chr5"	59431382	"hg38"	1	59431382	163
"Behcet Syndrome"	"TNF"	"EFO_0003780"	"ENSG00000232810"	"chr6"	31576950.5	"hg38"	1	31576950.5	164
"Bile Duct Neoplasms"	"CD274"	"Orphanet_70567"	"ENSG00000120217"	"chr9"	5460548	"hg38"	0	5460548	165
"Bile Duct Neoplasms"	"FGFR1"	"Orphanet_70567"	"ENSG00000077782"	"chr8"	38439889	"hg38"	13	37964794.5	166
"Bile Duct Neoplasms"	"FGFR2"	"Orphanet_70567"	"ENSG00000066468"	"chr10"	121538388	"hg38"	2	121834227.5	167
"Bile Duct Neoplasms"	"FGFR3"	"Orphanet_70567"	"ENSG00000068078"	"chr4"	1801080	"hg38"	13	2161371.5	168
"Bile Duct Neoplasms"	"FGFR4"	"Orphanet_70567"	"ENSG00000160867"	"chr5"	177092529.5	"hg38"	3	177216993	169
"Bile Duct Neoplasms"	"IDH1"	"Orphanet_70567"	"ENSG00000138413"	"chr2"	208245650	"hg38"	1	208245650	170
"Bipolar Disorder"	"ADRA2A"	"EFO_0000289"	"ENSG00000150594"	"chr10"	111078968	"hg38"	1	111078968	171
"Bipolar Disorder"	"DRD1"	"EFO_0000289"	"ENSG00000184845"	"chr5"	175442109	"hg38"	1	175442109	172
"Bipolar Disorder"	"DRD2"	"EFO_0000289"	"ENSG00000149295"	"chr11"	113442501.5	"hg38"	1	113442501.5	173
"Bipolar Disorder"	"DRD3"	"EFO_0000289"	"ENSG00000151577"	"chr3"	114153316	"hg38"	3	114236104.5	174
"Bipolar Disorder"	"HRH1"	"EFO_0000289"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	175
"Bipolar Disorder"	"HTR1A"	"EFO_0000289"	"ENSG00000178394"	"chr5"	63960159.5	"hg38"	1	63960159.5	176
"Bipolar Disorder"	"HTR2A"	"EFO_0000289"	"ENSG00000102468"	"chr13"	46864299.5	"hg38"	2	46784208.5	177
"Bipolar Disorder"	"MTNR1A"	"EFO_0000289"	"ENSG00000168412"	"chr4"	186544611	"hg38"	1	186490937	178
"Bipolar Disorder"	"MTNR1B"	"EFO_0000289"	"ENSG00000134640"	"chr11"	92976216.5	"hg38"	1	92976216.5	179
"Bipolar Disorder"	"SCN1A"	"EFO_0000289"	"ENSG00000144285"	"chr2"	166056916.5	"hg38"	2	165913569	180
"Bipolar Disorder"	"SCN2A"	"EFO_0000289"	"ENSG00000136531"	"chr2"	165315859	"hg38"	5	165770917.5	181
"Bipolar Disorder"	"SCN3A"	"EFO_0000289"	"ENSG00000153253"	"chr2"	165145788	"hg38"	3	164924939.5	182
"Bipolar Disorder"	"SLC6A4"	"EFO_0000289"	"ENSG00000108576"	"chr17"	30215008	"hg38"	0	30215008	183
"Urinary Bladder Neoplasms"	"CD274"	"HP_0009725"	"ENSG00000120217"	"chr9"	5460548	"hg38"	9	5808844.5	184
"Urinary Bladder Neoplasms"	"EPCAM"	"HP_0009725"	"ENSG00000119888"	"chr2"	47378165.5	"hg38"	3	47443189.5	185
"Urinary Bladder Neoplasms"	"ERBB2"	"HP_0009725"	"ENSG00000141736"	"chr17"	39714361	"hg38"	3	39729521	186
"Urinary Bladder Neoplasms"	"FGFR1"	"HP_0009725"	"ENSG00000077782"	"chr8"	38439889	"hg38"	1	38439889	187
"Urinary Bladder Neoplasms"	"FGFR2"	"HP_0009725"	"ENSG00000066468"	"chr10"	121538388	"hg38"	1	121538388	188
"Urinary Bladder Neoplasms"	"FGFR3"	"HP_0009725"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	189
"Urinary Bladder Neoplasms"	"FGFR4"	"HP_0009725"	"ENSG00000160867"	"chr5"	177092529.5	"hg38"	1	177092529.5	190
"Urinary Bladder Neoplasms"	"IFNAR2"	"HP_0009725"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	191
"Urinary Bladder Neoplasms"	"IL15RA"	"HP_0009725"	"ENSG00000134470"	"chr10"	5964963.5	"hg38"	1	5964963.5	192
"Urinary Bladder Neoplasms"	"IL2RA"	"HP_0009725"	"ENSG00000134460"	"chr10"	6036528	"hg38"	0	6036528	193
"Urinary Bladder Neoplasms"	"NECTIN4"	"HP_0009725"	"ENSG00000143217"	"chr1"	161080278	"hg38"	1	161080278	194
"Urinary Bladder Neoplasms"	"PDCD1"	"HP_0009725"	"ENSG00000188389"	"chr2"	241854389	"hg38"	13	241425563	195
"Urinary Bladder Neoplasms"	"TACSTD2"	"HP_0009725"	"ENSG00000184292"	"chr1"	58576342.5	"hg38"	4	58782419	196
"Urinary Bladder Neoplasms"	"TOP1"	"HP_0009725"	"ENSG00000198900"	"chr20"	41076654.5	"hg38"	6	41363390	197
"Urinary Bladder Neoplasms"	"TYMS"	"HP_0009725"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	0	665615.5	198
"Urinary Bladder, Neurogenic"	"CHRM3"	"HP_0000011"	"ENSG00000133019"	"chr1"	239651009	"hg38"	1	239651009	199
"Blepharoptosis"	"ADRA1A"	"MONDO_0000728"	"ENSG00000120907"	"chr8"	26818043.5	"hg38"	3	27048908	200
"Blepharoptosis"	"ADRA2A"	"MONDO_0000728"	"ENSG00000150594"	"chr10"	111078968	"hg38"	2	110966634.5	201
"Blood Coagulation Disorders"	"EPOR"	"EFO_0009314,Orphanet_448"	"ENSG00000187266"	"chr19"	11380760.5	"hg38"	2	11375417.5	202
"Blood Coagulation Disorders"	"F8"	"EFO_0009314,Orphanet_448"	"ENSG00000185010"	"chrX"	154929257.5	"hg38"	4	154885265	203
